"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Chthamalus dalli","Pilsbry, 1916","","small acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","Chthamaloidea","Chthamalidae","","","Chthamalus","dalli",,"",,"native","unlisted",,"2008-02-16","Andy Lamb","PMLS","",,"2023-06-02","","iNaturalist","",,14,"confirmed","observed","",129910,"ART"
"Ciliatocardium ciliatum","(Fabricius, 1780)","","hairy cockle","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Cardioidea","Cardiidae","Clinocardiinae","","Ciliatocardium","ciliatum",,"",,"native","unlisted",,"2008-10-10","Andy Lamb","PMLS","",,"2008-10-10","Andy Lamb","PMLS","",,1,"reported","unobserved","",940646,"MOL"
"Ciona savignyi","Herdman, 1882","","sea vase","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Cionidae","","","Ciona","savignyi",,"",,"cryoptogenic","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2008-10-10","Andy Lamb","PMLS","",,13,"confirmed","unobserved","",81614,"TUN"
"Cirratulus spectabilis","(Kinberg, 1866)","","red threads worm","Animalia","Annelida","","","Polychaeta","Sedentaria","","Terebellida","Cirratuliformia","","Cirratulidae","","","Cirratulus","spectabilis",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-064",,"1986-09-30","","RBCM","986-00197-064",,1,"reported","unobserved","",1136116,"WOR"
"Citharichthys stigmaeus","Jordan & Gilbert, 1882","","speckled sanddab","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Carangiformes","Pleuronectoidei","","Cyclopsettidae","","","Citharichthys","stigmaeus",,"",,"native","SNR",,"1993-05-09","Charlie Gibbs","PMLS","",,"2023-06-18","","iNaturalist","",,20,"confirmed","observed","",117542,"FIS"
"Clathria (Microciona) pennata","(Lambe, 1895)","","red velvety sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Microcionidae","Microcioninae","","Clathria","pennata",,"",,"native","unlisted",,"1971-08-21","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,173,"reported","unobserved","",63672,"POR"
"Clathrina sp.","","","lattice-skin sponge","Animalia","Porifera","","","Calcarea","Calcinea","","Clathrinida","","","Clathrinidae","","","Clathrina","",,"",,"","",,"2017-06-30","Andy Lamb","PMLS","",,"2017-06-30","Andy Lamb","PMLS","",,1,"new 2017","unobserved","",122021,"POR"
"Clavelina huntsmani","Van Name, 1931","","light-bulb tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Clavelinidae","","","Clavelina","huntsmani",,"",,"native","unlisted",,"1995-02-24","Charlie Gibbs","PMLS","",,"1996-02-24","Charlie Gibbs","PMLS","",,5,"reported","unobserved","",51984,"TUN"
"Clevelandia ios","(Jordan & Gilbert, 1882)","","arrow goby","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Gobiiformes","","","Gobiidae","Gobionellinae","","Clevelandia","ios",,"",,"native","SNR",,"2017-05-26","","iNaturalist","",,"2017-05-26","","iNaturalist","",,1,"new 2017","observed","",117564,"FIS"
"Clinocardium nuttallii","(Conrad, 1837)","","Nuttall's cockle","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Cardioidea","Cardiidae","Clinocardiinae","","Clinocardium","nuttallii",,"",,"native","unlisted",,"1995-02-23","Charlie Gibbs","PMLS","",,"2023-06-27","","iNaturalist","",,54,"confirmed","observed","",69925,"MOL"
"Clinocottus acuticeps","(Gilbert, 1896)","","sharpnose sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Oligocottinae","","Clinocottus","acuticeps",,"",,"","",,"2022-05-16","","iNaturalist","",,"2022-05-16","","iNaturalist","",,1,"new 2022","observed","",117532,"FIS"
"Cliona californiana","Laubenfels, 1932","","yellow boring sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Clionaida","","","Clionaidae","","","Cliona","californiana",,"",,"native","unlisted",,"1973-09-20","Andy Lamb","PMLS","",,"2023-07-16","","iNaturalist","",,171,"confirmed","observed","",424811,"POR"
"Clione limacina","(Phipps, 1774)","","common clione","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Pteropoda","Gymnosomata","Clionoidea","Clionidae","","","Clione","limacina",,"",,"native","unlisted",,"2020-01-05","","iNaturalist","",,"2020-01-05","","iNaturalist","",,1,"new 2020","observed","",55297,"MOL"
"Clupea pallasii","Valenciennes, 1847","","Pacific herring","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Clupeiformes","Clupeoidei","","Clupeidae","","","Clupea","pallasii",,"",,"native","SNR",,"1973-09-21","Andy Lamb","PMLS","",,"2023-09-09","","iNaturalist","",,34,"confirmed","observed","",117571,"FIS"
"Clytia gregaria","(Agassiz, 1862)","","gregarious jellyfish","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Campanulariidae","","","Clytia","gregaria",,"",,"native","unlisted",,"1976-06-19","O'Clair, Rita M.","CMN","CMNI 1900-1132",,"2023-07-22","","iNaturalist","",,30,"confirmed","observed","",195428,"CNI"
"Cnemidocarpa finmarkiensis","(Kiaer, 1893)","","broadbase tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Styelidae","","","Cnemidocarpa","finmarkiensis",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-06-24","","iNaturalist","",,208,"confirmed","observed","",47807,"TUN"
"Coanicardita ventricosa","(Gould, 1850)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Carditida","","Carditoidea","Carditidae","Scalaricarditinae","","Coanicardita","ventricosa",,"",,"native","unlisted",,"1959-12-11","Dan Quayle","RBCM","989-00278-006",,"1959-12-11","Dan Quayle","RBCM","989-00278-006",,1,"reported","unobserved","",1223439,"MOL"
"Compsomyax subdiaphana","(Carpenter, 1864)","","milky venus","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","Clementiinae","","Compsomyax","subdiaphana",,"",,"native","unlisted",,"1959-12-11","Dan Quayle","RBCM","989-00278-012",,"1961-06-22","","RBCM","976-01146-006",,3,"reported","unobserved","",957357,"MOL"
"Corella inflata","Huntsman, 1912","","brooding transparent tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Corellidae","","","Corella","inflata",,"",,"native","unlisted",,"1985-08-02","Andy Lamb","PMLS","",,"2021-12-16","","iNaturalist","",,6,"confirmed","observed","",347987,"TUN"
"Corella willmeriana","Herdman, 1898","","transparent tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Corellidae","","","Corella","willmeriana",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-09-09","","iNaturalist","",,124,"confirmed","observed","",447661,"TUN"
"Coryphella trilineata","(O'Donoghue, 1921)","","three-lined nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Coryphellidae","","","Coryphella","trilineata",,"",,"native","unlisted",,"1985-08-02","Andy Lamb","PMLS","",,"2023-05-28","","iNaturalist","",,68,"confirmed","observed","reported as Flabellina trilineata",1392222,"MOL"
"Coryphella trophina","(Bergh, 1890)","","red flabellina","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Coryphellidae","","","Coryphella","trophina",,"",,"native","unlisted",,"1985-08-02","Andy Lamb","PMLS","",,"2019-05-05","Stefania Gorgopa","PMLS","",,42,"confirmed","observed","reported as Flabellina trophina; the photograph posted on iNaturalist does not appear to be what is now called Himatina trophina (kf)",1376715,"MOL"
"Coryphella verrucosa","(M. Sars, 1829)","","red-gilled nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Coryphellidae","","","Coryphella","verrucosa",,"",,"native","unlisted",,"1994-09-10","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,41,"confirmed","observed","",633193,"MOL"
"Crangon nigricauda","Stimpson, 1856","","blacktail bay shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Crangonoidea","Crangonidae","","","Crangon","nigricauda",,"",,"","",,"2018-05-31","","iNaturalist","",,"2020-08-01","","iNaturalist","",,2,"new 2018","observed","",339110,"ART"
"Craniella villosa","Lambe, 1893","","tennis ball sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Tetractinellida","Spirophorina","","Tetillidae","","","Craniella","villosa",,"",,"native","unlisted",,"1985-08-02","Andy Lamb","PMLS","",,"2016-02-18","Andy Lamb","PMLS","",,32,"confirmed","observed","",459732,"POR"
"Crassadoma gigantea","(J.E. Gray, 1825)","","giant rock scallop","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Pectinida","","Pectinoidea","Pectinidae","Pedinae","Crassadomini","Crassadoma","gigantea",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-09-10","","iNaturalist","",,236,"confirmed","observed","",54526,"MOL"
"Crenella decussata","(Montagu, 1808)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Crenellinae","","Crenella","decussata",,"",,"native","unlisted",,"1959-12-11","Dan Quayle","RBCM","989-00278-013",,"1959-12-11","Dan Quayle","RBCM","989-00278-013",,1,"reported","unobserved","",193939,"MOL"
"Crepidula cf. nummaria","","","northern white slippersnail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Calyptraeoidea","Calyptraeidae","","","Crepidula","nummaria",,"",,"","",,"1994-09-10","Andy Lamb","PMLS","",,"2009-03-07","Andy Lamb","PMLS","",,3,"confirmed","unobserved","",117325,"MOL"
"Crepidula norrisiarum","Williamson, 1905","","hooked slippersnail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Calyptraeoidea","Calyptraeidae","","","Crepidula","norrisiarum",,"",,"native","unlisted",,"1995-02-26","Charlie Gibbs","PMLS","",,"2009-10-10","Andy Lamb","PMLS","",,7,"confirmed","unobserved","",485954,"MOL"
"Cribrilina sp.","","","","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Cribrilinoidea","Cribrilinidae","","","Cribrilina","",,"",,"","",,"2019-05-04","","iNaturalist","",,"2019-05-04","","iNaturalist","",,1,"new 2019","observed","",203432,"LOP"
"Cribrinopsis fernaldi","Siebert & Spaulding, 1976","","snakelock anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","","","Cribrinopsis","fernaldi",,"",,"native","unlisted",,"1971-08-21","Andy Lamb","PMLS","",,"2016-07-24","Andy Lamb","PMLS","",,44,"confirmed","unobserved","",465158,"CNI"
"Cribrinopsis rubens","Sanamyan, Sanamyan, McDaniel, Martynov, Korshunova & Bocharova, 2019","","crimson anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","","","Cribrinopsis","rubens",,"",,"native","unlisted",,"2006-11-11","Andy Lamb","PMLS","",,"2010-07-17","Andy Lamb","PMLS","",,19,"confirmed","unobserved","",936577,"CNI"
"Crisia sp.","","","white tuft bryozoans","Animalia","Bryozoa","","","Stenolaemata","","","Cyclostomatida","Articulina","","Crisiidae","","","Crisia","",,"",,"","",,"1985-07-29","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,110,"confirmed","unobserved","",192680,"LOP"
"Crossaster papposus","(Linnaeus, 1767)","","rose star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Solasteridae","","","Crossaster","papposus",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2014-01-03","Andy Lamb","PMLS","",,89,"confirmed","unobserved","",192687,"ECH"
"Crucigera zygophora","(Johnson, 1901)","","pale calcareous tubeworm","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Serpulidae","","","Crucigera","zygophora",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-067",,"1986-09-30","","RBCM","986-00197-067",,1,"reported","unobserved","",543574,"WOR"
"Cryptochiton stelleri","(Middendorff, 1847)","","giant Pacific chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Cryptoplacoidea","Acanthochitonidae","Cryptochitoninae","","Cryptochiton","stelleri",,"",,"native","unlisted",,"1973-09-20","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,118,"confirmed","observed","",49053,"MOL"
"Cryptolithodes sitchensis","J.F. Brandt, 1853","","umbrella crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Lithodidae","","","Cryptolithodes","sitchensis",,"",,"native","unlisted",,"1999-10-02","Andy Lamb","PMLS","",,"2007-10-14","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",47395,"ART"
"Cryptolithodes typicus","J.F. Brandt, 1848","","butterfly crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Lithodidae","","","Cryptolithodes","typicus",,"",,"native","unlisted",,"1985-07-29","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,38,"confirmed","unobserved","",53845,"ART"
"Cryptonatica aleutica","(Dall, 1919)","","Aleutian moonsnail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Naticoidea","Naticidae","Naticinae","","Cryptonatica","aleutica",,"",,"native","unlisted",,"2009-01-30","Andy Lamb","PMLS","",,"2009-04-13","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",507519,"MOL"
"Cucumaria miniata","(Brandt, 1835)","","red sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Cucumariidae","","","Cucumaria","miniata",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-09-10","","iNaturalist","",,236,"confirmed","observed","",117695,"ECH"
"Cucumaria pallida","Kirkendale & Lambert, 1995","","pale sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Cucumariidae","","","Cucumaria","pallida",,"",,"native","unlisted",,"2006-06-23","Andy Lamb","PMLS","",,"2021-03-02","","iNaturalist","",,49,"confirmed","observed","",356416,"ECH"
"Cucumaria piperata","(Stimpson, 1864)","","salt & pepper sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Cucumariidae","","","Cucumaria","piperata",,"",,"native","unlisted",,"1994-10-07","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,29,"confirmed","observed","",424353,"ECH"
"Cumanotus fernaldi","T.E. Thompson & G.H. Brown, 1984","","Fernald's aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Cumanotidae","","","Cumanotus","fernaldi",,"",,"native","unlisted",,"1975-06-17","Philip Lambert","RBCM","975-00224-006",,"1975-06-17","Philip Lambert","RBCM","975-00224-006",,1,"reported","unobserved","",50462,"MOL"
"Cuthona divae","(Er. Marcus, 1961)","","rose-pink cuthona","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Cuthonidae","","","Cuthona","divae",,"",,"native","unlisted",,"2014-04-08","","iNaturalist","",,"2014-04-09","","iNaturalist","",,4,"confirmed","observed","",47399,"MOL"
"Cuthonella concinna","(Alder & Hancock, 1843)","","neat aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Cuthonellidae","","","Cuthonella","concinna",,"",,"native","unlisted",,"2014-04-08","","iNaturalist","",,"2014-04-08","","iNaturalist","",,1,"reported","observed","",521158,"MOL"
"Cyanea ferruginea","Eschscholtz, 1829","","lion's mane","Animalia","Cnidaria","","","Scyphozoa","Discomedusae","","Semaeostomeae","","","Cyaneidae","","","Cyanea","ferruginea",,"",,"native","unlisted",,"1999-10-02","Andy Lamb","PMLS","",,"2022-10-10","","iNaturalist","",,45,"confirmed","observed","reported as Cyanea capillata",786996,"CNI"
"Cyanoplax dentiens","(Gould, 1846)","","Gould’s baby chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Tonicellidae","Tonicellinae","","Cyanoplax","dentiens",,"",,"native","unlisted",,"2017-05-14","","iNaturalist","",,"2023-06-27","","iNaturalist","",,3,"new 2017","observed","",71241,"MOL"
"Cylichna attonsa","Carpenter, 1865","","deep trouble chalice-bubble","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Cylichnoidea","Cylichnidae","","","Cylichna","attonsa",,"",,"native","unlisted",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03321",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03321",,1,"reported","unobserved","",49792,"MOL"
"Cymatogaster aggregata","Gibbons, 1854","","shiner perch","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Cichliformes","","","Embiotocidae","","","Cymatogaster","aggregata",,"",,"native","SNR",,"1971-08-21","Andy Lamb","PMLS","",,"2023-08-25","","iNaturalist","",,94,"confirmed","observed","",98855,"FIS"
"Cystodytes lobatus","(Ritter, 1900)","","lobed compound tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Polycitoridae","","","Cystodytes","lobatus",,"",,"native","unlisted",,"1993-05-09","Charlie Gibbs","PMLS","",,"2018-06-19","Andy Lamb","PMLS","",,21,"confirmed","unobserved","",339197,"TUN"
"Dendraster excentricus","(Eschscholtz, 1831)","","eccentric sand dollar","Animalia","Echinodermata","Echinozoa","","Echinoidea","Euechinoidea","Luminacea","Echinolampadacea","Scutelloida","Scutelloidea","Dendrasteridae","","","Dendraster","excentricus",,"",,"native","unlisted",,"1964-12-07","","RBCM","976-01146-014",,"2022-04-04","","iNaturalist","",,7,"confirmed","observed","",117696,"ECH"
"Dendrobeania lichenoides","(Robertson, 1900)","","leaf crust bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Buguloidea","Bugulidae","","","Dendrobeania","lichenoides",,"",,"native","unlisted",,"1985-07-29","Andy Lamb","PMLS","",,"2008-11-09","","iNaturalist","",,8,"confirmed","observed","",339213,"LOP"
"Dendrobeania murrayana","(Bean in Johnston, 1847)","","fan bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Flustrina","Buguloidea","Bugulidae","","","Dendrobeania","murrayana",,"",,"native","unlisted",,"1985-08-02","Andy Lamb","PMLS","",,"2016-07-24","Andy Lamb","PMLS","",,43,"confirmed","unobserved","",205170,"LOP"
"Dendronotus albopunctatus","Robilliard, 1972","","white-spotted dendronotid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Dendronotidae","","","Dendronotus","albopunctatus",,"",,"native","unlisted",,"2015-04-22","","iNaturalist","",,"2015-04-22","","iNaturalist","",,1,"reported","observed","",50328,"MOL"
"Dendronotus albus","MacFarland, 1966","","white dendronotid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Dendronotidae","","","Dendronotus","albus",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2016-02-07","Andy Lamb","PMLS","",,15,"confirmed","observed","",47773,"MOL"
"Dendronotus iris","J.G. Cooper, 1863","","giant nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Dendronotidae","","","Dendronotus","iris",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,71,"confirmed","observed","",47706,"MOL"
"Dendronotus kamchaticus","Ekimova, Korshunova, Schepetov, Neretina, Sanamyan & Martynov, 2015","","white-tipped dendronotus","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Dendronotidae","","","Dendronotus","kamchaticus",,"",,"native","unlisted",,"2014-04-09","","iNaturalist","",,"2014-04-09","","iNaturalist","",,1,"reported","observed","",601888,"MOL"
"Dendronotus robilliardi","Korshunova, Sanamyan, Zimina, Fletcher & Martynov, 2016","","Robilliard's dendronotus","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Dendronotidae","","","Dendronotus","robilliardi",,"",,"native","unlisted",,"2014-04-08","","iNaturalist","",,"2014-04-08","","iNaturalist","",,2,"confirmed","observed","",882206,"MOL"
"Dendronotus rufus","O'Donoghue, 1921","","red dendronotid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Dendronotidae","","","Dendronotus","rufus",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2022-08-16","","iNaturalist","",,28,"confirmed","observed","",50393,"MOL"
"Dendronotus subramosus","MacFarland, 1966","","stubby-frond dendronotus","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Dendronotidae","","","Dendronotus","subramosus",,"",,"native","unlisted",,"2014-04-08","","iNaturalist","",,"2014-04-09","","iNaturalist","",,3,"confirmed","observed","",47771,"MOL"
"Dendronotus venustus","MacFarland, 1966","","branched dendronotus","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Dendronotidae","","","Dendronotus","venustus",,"",,"native","unlisted",,"2009-07-09","","iNaturalist","",,"2018-05-18","","iNaturalist","",,4,"confirmed","observed","",129995,"MOL"
"Dermasterias imbricata","(Grube, 1857)","","leather star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Asteropseidae","","","Dermasterias","imbricata",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,339,"confirmed","observed","",63382,"ECH"
"Desdimelita californica","(Alderman, 1936)","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Hadzioidea","Melitidae","","","Desdimelita","californica",,"",,"native","unlisted",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2006-0611",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2006-0611",,1,"reported","unobserved","",1128629,"ART"
"Desdimelita microdentata","Jarrett & Bousfield, 1996","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Hadzioidea","Melitidae","","","Desdimelita","microdentata",,"",,"native","unlisted",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2007-0102",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2007-0102",,1,"reported","unobserved","",1128632,"ART"
"Desmacella austini","Lehnert, Conway, Barrie & Krautter, 2005","","thin encrusting Desmacella","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Desmacellida","","","Desmacellidae","","","Desmacella","austini",,"",,"native","unlisted",,"2007-10-23","","iNaturalist","",,"2011-10-30","","iNaturalist","",,4,"confirmed","observed","",459736,"POR"
"Diadumene lineata","(Verrill, 1869)","","striped green sea anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Metridioidea","Diadumenidae","","","Diadumene","lineata",,"",,"non-native","unlisted",,"1859-01-01","Alexander Agassiz","McMurrich (1921)","AGASSIZGI:1",,"2023-08-24","","iNaturalist","",,11,"confirmed","observed","",81783,"CNI"
"Diaperoforma californica","(d'Orbigny, 1853)","","southern staghorn bryozoan","Animalia","Bryozoa","","","Stenolaemata","","","Cyclostomatida","","","","","","Diaperoforma","californica",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2023-08-09","","iNaturalist","",,111,"confirmed","observed","",345872,"LOP"
"Diaphoreolis viridis","(Forbes, 1840)","","green aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Trinchesiidae","","","Diaphoreolis","viridis",,"",,"native","unlisted",,"2014-04-09","","iNaturalist","",,"2014-04-09","","iNaturalist","",,1,"reported","observed","",632114,"MOL"
"Diaphorodoris lirulatocauda","Millen, 1985","","porcupine dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Calycidorididae","","","Diaphorodoris","lirulatocauda",,"",,"native","unlisted",,"2008-05-30","Andy Lamb","PMLS","",,"2018-06-19","Andy Lamb","PMLS","",,3,"confirmed","observed","",48630,"MOL"
"Diaulula odonoghuei","(Steinberg, 1963)","","spotted leopard dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Doridoidea","Discodorididae","","","Diaulula","odonoghuei",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2023-06-24","","iNaturalist","",,89,"confirmed","observed","",508237,"MOL"
"Didemnum carnulentum","Ritter & Forsyth, 1917","","Pacific white crust","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Didemnidae","","","Didemnum","carnulentum",,"",,"native","unlisted",,"1985-07-29","Andy Lamb","PMLS","",,"2006-12-02","Charlie Gibbs","PMLS","",,18,"confirmed","unobserved","",344918,"TUN"
"Didemnum vexillum","Kott, 2002","","carpet sea squirt","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Didemnidae","","","Didemnum","vexillum",,"",,"non-native","unlisted",,"2013-10-23","Andy Lamb","PMLS","",,"2013-10-23","Andy Lamb","PMLS","",,1,"reported","unobserved","",126506,"TUN"
"Diodora aspera","(Rathke, 1833)","","rough keyhole limpet","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Lepetellida","","Fissurelloidea","Fissurellidae","Diodorinae","","Diodora","aspera",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,105,"confirmed","observed","",64148,"MOL"
"Diopatra ornata","Moore, 1911","","ornate tubeworm","Animalia","Annelida","","","Polychaeta","Errantia","","Eunicida","","","Onuphidae","Onuphinae","","Diopatra","ornata",,"",,"native","unlisted",,"1999-10-02","Andy Lamb","PMLS","",,"2020-06-07","","iNaturalist","",,14,"confirmed","observed","",339286,"WOR"
